DATEPRD,WELL_BORE_CODE,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,NPD_FIELD_CODE,NPD_FIELD_NAME,NPD_FACILITY_CODE,NPD_FACILITY_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE
07-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0.00,0.000,0.000,0.000,0.000,0.00000,%,0.00,0.00,0.00,0.00,0.00,0.00,,production,WI
08-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0.00,,,,0.000,1.00306,%,0.00,0.00,0.00,0.00,0.00,0.00,,production,OP
09-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0.00,,,,0.000,0.97901,%,0.00,0.00,0.00,0.00,0.00,0.00,,production,OP
10-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0.00,,,,0.000,0.54576,%,0.00,0.00,0.00,0.00,0.00,0.00,,production,OP
11-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0.00,310.376,96.876,277.278,0.000,1.21599,%,33.10,10.48,33.07,0.00,0.00,0.00,,production,OP
12-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0.00,303.501,96.923,281.447,0.000,3.08702,%,22.05,8.70,22.05,0.00,0.00,0.00,,production,OP
13-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0.00,303.535,96.959,276.032,0.000,1.96237,%,27.50,9.42,16.16,0.00,0.00,0.00,,production,OP
14-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0.00,303.782,96.969,282.787,0.000,0.00000,%,21.00,8.13,20.74,0.00,0.00,0.00,,production,OP
15-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0.00,303.858,97.021,289.941,0.000,31.14186,%,13.92,8.50,12.18,0.00,0.00,0.00,,production,OP
16-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0.00,303.792,97.066,299.672,0.000,0.00000,%,4.12,8.82,1.49,0.00,0.00,0.00,,production,OP
17-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0.00,304.335,96.919,282.901,0.000,41.23599,%,21.43,8.85,18.79,0.00,0.00,0.00,,production,OP
18-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0.00,304.849,96.720,273.701,0.000,0.00000,%,31.15,9.64,28.50,0.00,0.00,0.00,,production,OP
19-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0.00,305.371,96.616,259.620,0.000,0.43686,%,45.75,9.64,43.16,0.00,0.00,0.00,,production,OP
20-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0.00,313.871,96.560,282.814,0.000,0.45428,%,31.06,9.62,28.48,0.00,0.00,0.00,,production,OP
21-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,11.50,301.376,102.676,204.795,0.000,20.98975,%,96.58,19.20,69.78,0.00,0.00,0.00,,production,OP
22-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.00,289.421,106.353,182.059,0.000,43.34345,%,107.36,37.94,78.94,631.47,90439.09,0.00,,production,OP
23-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.00,270.240,107.644,171.053,,47.16752,%,99.19,60.76,70.63,1166.46,165720.39,0.00,,production,OP
24-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.00,262.843,107.869,168.242,,47.73231,%,94.60,63.05,66.05,1549.81,221707.31,0.00,,production,OP
25-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.00,255.527,107.971,165.539,,48.53377,%,89.99,64.55,61.41,1248.70,178063.52,0.00,,production,OP
26-Apr-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.00,247.199,108.052,162.422,,49.84450,%,84.78,65.72,56.15,1345.78,192602.19,0.00,,production,OP
